ticker,nome
CSNA3.SA,SID NACIONAL
CSRN3.SA,COSERN      
CSRN5.SA,COSERN      
CSRN6.SA,COSERN      
CSXC34.SA,CSX CORP    
CTGP34.SA,CITIGROUP   
CTKA3.SA,KARSTEN     
CTKA4.SA,KARSTEN     
CTNM3.SA,COTEMINAS   
CTNM4.SA,COTEMINAS   
CTSA3.SA,SANTANENSE  
CTSA4.SA,SANTANENSE  
CTSH34.SA,COGNIZANT   
CTXT11.SA,FII C TEXTIL
CVBI11.SA,FII VBI CRI 
CVCB3.SA,CVC BRASIL  
CVSH34.SA,CVS HEALTH  
CXCE11B.SA,FII CX CEDAE
CXRI11.SA,FII CX RBRAV
CXTL11.SA,FII CX TRX  
CYRE3.SA,CYRELA REALT
DAMT11B.SA,FII DIAMANTE
DASA1.SA,DASA        
DASA3.SA,DASA        
DBAG34.SA,DEUTSCHE AK 
DCVY34.SA,DISCOVERY IN
DDNB34.SA,DUPONT N INC
DEAI34.SA,DELTA       
DEEC34.SA,DEERE CO    
DEOP34.SA,DIAGEO PL   
DGCO34.SA,DOLLAR GENER
DHER34.SA,DANAHER CORP
DIRR3.SA,DIRECIONAL  
DISB34.SA,WALT DISNEY 
DIVO11.SA,IT NOW IDIV 
DLTR34.SA,DOLLAR TREE 
DMAC11.SA,FII MAC     
DMMO11.SA,DOMMO       
DMMO3.SA,DOMMO       
DOHL3.SA,DOHLER      
DOHL4.SA,DOHLER      
DOMC11.SA,FII DOMO    
DRIT11B.SA,FII MTGESTAO
DTCY3.SA,DTCOM-DIRECT
DTEX3.SA,DURATEX     
DUKB34.SA,DUKE ENERGY 
DVAI34.SA,DAVITA INC  
DWDP34.SA,DOWDUPONT   
EAIN34.SA,ELECTR ARTS 
EALT3.SA,ACO ALTONA  
EALT4.SA,ACO ALTONA  
EBAY34.SA,EBAY        
ECOO11.SA,ISHARES ECOO
ECOR3.SA,ECORODOVIAS 
ECPR3.SA,ENCORPAR    
ECPR4.SA,ENCORPAR    
EDFO11B.SA,FII OURINVES
EDGA11.SA,FII GALERIA 
EEEL3.SA,CEEE-GT     
EEEL4.SA,CEEE-GT     
EGIE3.SA,ENGIE BRASIL
EKTR3.SA,ELEKTRO     
EKTR4.SA,ELEKTRO     
ELCI34.SA,ESTEE LAUDER
ELEK3.SA,ELEKEIROZ   
ELEK4.SA,ELEKEIROZ   
ELET1.SA,ELETROBRAS  
ELET11.SA,ELETROBRAS  
ELET3.SA,ELETROBRAS  
ELET5.SA,ELETROBRAS  
ELET6.SA,ELETROBRAS  
ELPL3.SA,ELETROPAULO 
EMAE3.SA,EMAE        
EMAE4.SA,EMAE        
EMBR3.SA,EMBRAER     
ENAT3.SA,ENAUTA PART 
ENBR3.SA,ENERGIAS BR 
ENEV3.SA,ENEVA       
ENGI11.SA,ENERGISA    
ENGI3.SA,ENERGISA    
ENGI4.SA,ENERGISA    
ENMA3B.SA,CEMAR       
ENMT3.SA,ENERGISA MT 
ENMT4.SA,ENERGISA MT 
EQIX34.SA,EQUINIX INC 
EQPA3.SA,EQTL PARA   
EQPA5.SA,EQTL PARA   
EQPA7.SA,EQTL PARA   
EQTL3.SA,EQUATORIAL  
ESTC3.SA,ESTACIO PART
ESTR3.SA,ESTRELA     
ESTR4.SA,ESTRELA     
ESUD11.SA,FIP IE II   
ESUT11.SA,FIP IE III  
ETER1.SA,ETERNIT     
ETER3.SA,ETERNIT     
EUCA3.SA,EUCATEX     
EUCA4.SA,EUCATEX     
EURO11.SA,FII EUROPAR 
EVEN3.SA,EVEN        
EXGR34.SA,EXPEDIA GROU
